,avg_utility,avg_nash_product,avg_social_welfare,avg_num_offers,count,agreement,failed,ERROR
Agent68,0.736385129698333,0.4057001652430781,1.3297752512099994,1403.7833333333333,60,59,1,0
Agent25,0.723196614858333,0.26177528365398023,0.989009895611667,1342.8333333333333,60,44,16,0
Agent32,0.70779503947,0.3744430928669239,1.2410578299833335,308.8666666666667,60,56,4,0
Agent41,0.68200172634,0.46960849889117745,1.3619088471599998,844.8833333333333,60,57,3,0
Agent33,0.6588786244683333,0.4696364521267529,1.2973383058116663,612.9833333333333,60,53,7,0
Agent27,0.6574049393716667,0.42187769887825627,1.3259938771316666,406.2,60,58,2,0
Agent2,0.6482364539966669,0.4058371649331713,1.2997842863550004,1057.1833333333334,60,57,3,0
Agent24,0.6408295582949998,0.3599692113660529,1.2562874617966662,1128.1833333333334,60,58,2,0
Agent29,0.6361970789683331,0.4780563463776922,1.4094104153249993,650.3666666666667,60,60,0,0
Agent67,0.6347130627333332,0.3979291172956933,1.253361313173333,782.25,60,55,5,0
Agent3,0.6112423988633329,0.3858638606601816,1.2470408227583332,1338.9,60,55,5,0
Agent61,0.6013344183616665,0.4158983596122837,1.2667925408516665,997.35,60,55,5,0
Agent18,0.5993644870566665,0.449653314605162,1.2506421291799996,813.0,60,51,9,0
Agent64,0.5684962435266666,0.344537530838715,1.1998136115216669,80.31666666666666,60,53,7,0
Agent14,0.5471207442716665,0.43267451292382597,1.2400688806716664,771.7166666666667,60,51,9,0
Agent22,0.5123632005133333,0.42245563313758727,1.362833973045,573.55,60,60,0,0
